类别：所有类别

区域,日本动画: (2025/5/6 - 2026/5/6),日本漫画: (2025/5/6 - 2026/5/6),日本流行音乐: (2025/5/6 - 2026/5/6),日本: (2025/5/6 - 2026/5/6),日本料理: (2025/5/6 - 2026/5/6)
Sabah,29%,13%,<1%,58%,<1%
Kelantan,32%,16%,,52%,<1%
Sarawak,28%,12%,<1%,60%,<1%
Terengganu,34%,18%,<1%,48%,<1%
Labuan,32%,20%,,47%,1%
Pahang,30%,15%,<1%,55%,<1%
Perak,30%,15%,<1%,54%,1%
Kedah,31%,14%,<1%,55%,<1%
Johor,28%,13%,<1%,58%,1%
Negeri Sembilan,30%,17%,<1%,53%,<1%
Perlis,30%,18%,,52%,<1%
Federal Territory of Kuala Lumpur,21%,11%,<1%,66%,2%
Malacca,27%,17%,<1%,55%,1%
Selangor,26%,15%,<1%,57%,2%
Penang,26%,12%,<1%,60%,2%
Putrajaya,26%,18%,,55%,1%
