"query","search interest","increase percent"
"don omakase",0,"Breakout"
"japanese curry near me",2,"800%"
"yaki soul",0,"200%"
"best japanese buffet in kl",0,"110%"
"japonica rice",0,"70%"
"japanese tauhu",0,"40%"
"japanese mayo",0,"40%"
"japanese curry",5,"40%"
"japanese mochi",0,"30%"
"japanese rice",5,"30%"
"japanese shabu shabu",0,"30%"
"dashi",0,"30%"
"cafe near me",1,"20%"
"japanese cafe near me",0,"20%"
"japanese pumpkin",0,"20%"
"uo shin",0,"20%"
"japanese bbq taman desa",0,"20%"
"klcc japanese food",1,"20%"
"japanese foods",1,"20%"
"omakase",1,"20%"
"furikake",0,"20%"
"japanese restaurant klcc",1,"20%"
"japanese wagyu",1,"20%"
"shin zushi",0,"20%"
"japanese soy sauce",0,"20%"
"shin sushi",0,"10%"
"japanese near me",10,"10%"
"japanese izakaya",2,"10%"
"japanese tofu",1,"10%"
"japanese soup",1,"10%"
"japanese curry cube",0,"10%"
"tono izakaya",0,"10%"
"日本 清酒",0,"10%"
"japanese snacks",0,"10%"
"klcc japanese restaurant",1,"10%"
"japanese egg",2,"10%"
"japanese buffet in kl",1,"9%"
"japanese food jb",0,"8%"
"trx japanese food",1,"8%"
"trx food",1,"8%"
"日本 豆腐",1,"8%"
"日本 拉面",0,"6%"
"japanese cuisine",2,"6%"
"日本 料理",1,"6%"
"japanese restaurant pj",1,"5%"
"makanan jepun",1,"4%"
"japanese food near me",4,"4%"
"yakiniku",2,"3%"
"japanese curry rice",1,"3%"
"food near me",5,"3%"
